Map,degree_sd,centralization_degree,bridges_ratio,assortativity,moran_i_degree,getis_gi_degree_mean,rosval_mean,orientation_entropy,d_value,c1,c2,c5,c7,c8,c9,c10,c11,c12,c13,c14,c15,c16
austria20,-0.8719746072360333,0.22167359914152385,-0.8798516331116888,0.5482196716558403,0.19383942615528046,0.4068943532999213,-1.0868506997196874,0.4610575530050965,0.6443092607822949,1.4338523069073739,1.0212065999730706,0.9136063716068089,0.2640108913534317,-0.5555026840780102,-1.3131473550174204,0.4923994728380807,-0.2807267966208891,0.061653002450453825,-0.062289514593582375,-0.7528600243739058,-0.40757912633620036,-0.07173211835280546
austria22,-0.6283114800954949,-0.37554312461966455,-1.017782456948027,0.8198919053412352,0.44237072403138794,0.20749314374669345,-0.5776683031489721,0.5691392512883481,1.561164608925838,1.101838031347499,0.708631208827415,1.269939663300119,1.7757465627090188,0.46949493162258144,-1.275772354492071,0.9856448354610209,0.31752016428410634,1.0221144893815266,-1.0525360454416461,0.38115293384546733,-0.06154787229098355,-0.020033400398819266
austria32,0.8180032245744143,0.7015981876185683,-0.016056161410074692,-0.08251621382040752,-0.21968182170772746,0.02092501653435203,-1.2232136234258566,0.23230820066742236,0.20482329631328053,-0.4868785847155031,-0.6050528702774126,0.7347353143795239,1.6035186919626934,2.25397023389943,1.6731489723951485,1.123355618492449,1.8188400015482777,0.8770613621313784,-0.9057252282896349,-0.7603447899119764,-1.1734212651259386,-0.79866156561023
austria37,-0.038298622233763235,0.09618638016940455,0.9637457494346741,-1.044573754580311,-0.9118663598178782,0.9791240374093851,-0.005101121061347105,0.5770468229993972,-0.8882013109999176,-0.8260035885026709,-0.8700909749586112,0.09557985046379378,-0.5538769781686288,2.4826298199753927,2.0041381341163063,0.7515061468923482,0.460325555996999,0.8953576252596569,-0.9352072012398149,-0.7668281124161327,-1.3682781147343235,-0.9756235087110283
belgium04,-0.964218505367809,-0.266958265753994,-0.9823884298568125,0.8671345808281445,0.12534633931776462,-0.39606317827728005,-0.6894347056230565,0.7020935705511744,1.7401418746676747,-0.07556341568964722,-0.27535134972887554,0.03140455851477967,1.4792357556497258,0.9053057767945252,-1.363970185590396,0.7651140801407952,0.047113186131428265,1.038080804231089,-0.9558318888485188,0.2561746531834069,0.8717437889543219,1.7923154531778682
belize01,0.3245853921148247,-0.9053211388652245,-0.43665983652512286,0.7645103774082769,-0.17551247091310473,-1.249175446677882,1.391122952050856,0.6261304752934785,1.3112481700241694,1.454576672120838,2.0061975232378573,-1.0278469302356619,0.12078202853386386,0.1052078730409491,0.12430327688957907,0.8302145873751803,-0.07101315895802326,-1.0279596230013288,1.0260119483079015,1.3027431767730893,1.8391709744479805,2.254503494920377
belize04,-1.327102519716396,-0.6389809190060323,-0.7790689978521095,0.6219874430402115,0.22528381842946876,-0.4763803422084572,0.0707867736831348,-1.0742242733243836,-0.33544622719040895,0.7943281144092426,1.2961463509051616,-0.8221531104463793,0.1609671527819925,0.686432212411676,1.6202593340159692,0.4974464185859046,0.34194494998426683,-0.1490914673047256,0.0695881513287373,0.5312328922384542,0.12009764503493253,-0.06397480526993525
bolivia01,-1.3941098796800442,-0.5833226422918677,-1.1132288592200483,1.7852237209785673,1.8150612146270122,-0.07876889737555642,0.4948177744151571,0.031868585140698354,0.10568150668196434,0.11936051549542456,0.27001359865960395,-0.3924951470317309,-0.07296601276561424,0.3634723540604361,0.5992764692968129,-0.3949298266126578,-1.0938452125430151,-1.3523777344398134,2.136008158280212,0.9562759047977046,0.7931930652322218,0.02044743484913563
bulgaria05,0.4594703374961927,0.38779477473318663,0.1703274472431991,-0.1791155195272222,-0.8460158079204946,-0.5397696133750662,-1.2422750132965283,0.7812574996170063,0.20368581847886086,-0.24641706683392467,-0.4038300629477343,-0.653507857019277,0.586638415352074,1.5210501087737822,1.3713088051268503,1.7456400906801572,1.3909074127201908,-0.17438576240732706,-0.04161276690823625,-0.9823174539179981,0.18385680306545002,0.6424292362768982
bulgaria06,0.9572392972261506,4.99684642557854,2.168164614464477,-1.9576552180712021,-1.6572474318402841,0.4794367301194665,-1.6698121909882033,-0.13262150815702833,-0.30296331326928494,0.8267778474184785,0.5396997938622402,0.8403593277004092,0.21374665023494951,0.6986855106246318,-0.24281691073309392,1.6560803198534957,1.2161829299721238,0.18644947146347277,-0.2700517059680505,-1.5988977070403068,-1.4178177954609503,-0.944725789342599
burundi03,0.2610589339674693,-0.6546881627413179,-0.07461249496357061,0.21412175543895973,0.3395778883736352,-0.036696727532234054,0.7030552163691423,0.23223889127393918,0.429943901759794,1.5046305047347888,2.0904197545569025,-0.8561018159916346,0.11312924376163212,-0.8412941696059816,-0.7873120765831076,0.587272681938089,-0.6667035929812708,-1.8540750907507018,1.9124415409216782,0.12694839562698979,1.4705803320566184,1.6256976380999681
canada33,1.1191012316837934,0.7273785550536568,0.8121609118730154,-1.5745006409567357,-1.8387842616872059,-1.180259519612643,0.0691415783888625,0.79286682302546,0.8065419379194836,-0.7089043585598088,-0.779993999434739,-0.20804429712926917,-1.081706157740125,0.8267826532256898,-1.099056220968998,1.0386897396386696,0.31323228972870365,1.1762487434470266,-1.17581512893165,-0.6265794225389011,0.26723063947919634,0.5074482305502938
canada34,0.24800555215636857,-0.5855421441240276,-0.13402220437489903,-0.10881497655076622,-0.7098809206691298,-1.049988344859226,-0.8591902968141152,-0.39830016551339537,0.2698373425157463,-0.5994967381553772,-0.6705133615776886,-0.44231013292647614,-0.5719826326055862,2.3745024971194946,0.9267756040128919,1.4921794664883927,1.4524015638047636,1.0817543560377858,-1.1264431203222363,-0.05745765470425484,0.6126972273772926,0.14369382122914567
chile01,0.49863048292949497,-0.5486642675281395,-0.7047778884508004,1.0455106737101496,0.08467967745385384,-1.1109019953448505,-0.26642747918755605,-0.7105295318747267,0.5343980015961824,-0.22497581384849086,-0.3500763714516714,0.9303179322952468,-0.020760937622034403,1.2033928232533848,1.4465719091014004,0.10292988715450811,-0.023987885952614564,0.17826890057184006,-0.1850861867696126,0.9543618793970783,-0.6044315349016827,-0.76988716407393
chile03,0.6152406937753228,-0.40559176480890674,-0.20216057919627967,0.6105244344992867,-0.3356607293654007,-1.811783664465034,0.12769937435019588,0.10888077258157292,0.9896426579199874,-0.8294763664064415,-0.8767681572679659,-0.1884723085541432,-0.4269221108634409,0.42322747068303473,0.4349506574562061,0.2792875083801537,0.6848365921942005,0.9697847905619709,-1.0100067936607744,0.84808597646237,1.0888322965966102,0.5669011298499357
