"Map","agent","final_alive","total_health","transport_rate","road_clear_rate","buried_rescue_rate","dist_per_rescue","dist_per_transport","total_buried_time","rsl21_rate"
"indonesia43","concentration2_cluster_9_group_none",83.2953333333333,82.1193333333333,63.393,64.4383333333333,21.9113333333333,57143280.9215385,432631301.336538,48727.4615384615,0.343042635658915
"indonesia63","concentration2_cluster_9_group_none",80.774,79.8496666666667,53.6866666666667,39.9363333333333,5.764,137887288.245417,585511779.453333,57988.125,0.296624509803922
"indonesia79","concentration2_cluster_9_group_none",81.918,80.432,66.881,79.3893333333333,29.0766666666667,41714132.0865217,254521419.525652,48363.0869565217,0.309614255765199
"indonesia80","concentration2_cluster_9_group_none",83.1006666666667,82.357,67.8993333333333,50.355,9.84233333333333,100327811.4672,537069311.9328,49698.24,0.346532945736434
"ishikawa","concentration2_cluster_9_group_none",84.5803333333333,83.786,75.8893333333333,42.6216666666667,8.106,154794966.370417,652658396.354167,42868.3333333333,0.378197849462366
"italy16","concentration2_cluster_9_group_none",87.803,85.7426666666667,80.9416666666667,82.8226666666667,31.995,67461610.7884,412986662.5404,24042.48,0.434104361370717
"italy36","concentration2_cluster_9_group_none",88.0426666666667,86.1616666666667,62.2403333333333,88.379,45.978,54928789.1840909,445923283.99,27876.6818181818,0.443428232502966
"italy54","concentration2_cluster_9_group_none",83.195,81.6583333333333,64.3476666666667,62.6386666666667,25.0576666666667,94324662.0525,573226207.8335,48469.2,0.334230158730159
"mongolia05","concentration2_cluster_9_group_none",92.72,90.7716666666667,79.9623333333333,87.0133333333333,48.5373333333333,68833752.012,599454515.2912,16579.84,0.587277333333333
"myanmar03","concentration2_cluster_9_group_none",79.2083333333333,78.1863333333333,66.9973333333333,26.617,7.76266666666667,163475421.051364,521147049.951818,44817.7727272727,0.270395833333333
"myanmar11","concentration2_cluster_9_group_none",80.1133333333333,78.7086666666667,76.5276666666667,51.4096666666667,19.1956666666667,67911351.60625,332118396.045417,40899.3333333333,0.279087943262411
"myanmar12","concentration2_cluster_9_group_none",78.348,77.343,33.3333333333333,31.068,3.52866666666667,62112971.2992593,263435587.081481,44351.6666666667,0.25733185840708
"myanmar13","concentration2_cluster_9_group_none",79.2243333333333,78.0323333333333,53.3883333333333,39.8476666666667,4.79233333333333,104046071.252308,452298709.294615,43403.7307692308,0.267459064327485
"myanmar14","concentration2_cluster_9_group_none",79.737,78.651,35,27.177,2.21366666666667,130724954.503077,283681000.447692,44785.8461538462,0.2766459197787
"myanmar15","concentration2_cluster_9_group_none",80.3786666666667,79.288,65.0003333333333,32.072,5.78933333333333,186453333.8,325431433.792632,43565.1578947368,0.289879738562091
"nara01","concentration2_cluster_9_group_none",80.8873333333333,80.175,38.3336666666667,30.8526666666667,2.30466666666667,139231523.084783,545943051.149565,53800.6956521739,0.302659352142111
"netherlands04","concentration2_cluster_9_group_none",80.0863333333333,78.747,70.252,43.147,13.6193333333333,149084199.686667,635640094.25381,61146.2380952381,0.279342105263158
"new-zealand02","concentration2_cluster_9_group_none",81.4336666666667,80.381,74.619,30.3886666666667,10.9033333333333,167299230.332692,527311268.690769,40960.0769230769,0.308923772609819
"new-zealand20","concentration2_cluster_9_group_none",90.3946666666667,88.6333333333333,78.965,78.8356666666667,35.0526666666667,79925478.34,550542764.712083,29953.2083333333,0.514245454545455
"okayama","concentration2_cluster_9_group_none",86.5863333333333,85.7226666666667,80.0816666666667,56.214,20.2086666666667,83732551.3440909,463962972.342273,32350.8636363636,0.428269624573379
"peru13","concentration2_cluster_9_group_none",87.7423333333333,86.0636666666667,79.7213333333333,62.4063333333333,26.05,89993250.4179167,548821722.912083,35749.75,0.43905329153605
"peru17","concentration2_cluster_9_group_none",94.2216666666667,92.8713333333333,75.3236666666667,89.429,46.2363333333333,76969727.3251852,922447074.481852,17254.0740740741,0.662271457085828
"peru19","concentration2_cluster_9_group_none",86.2333333333333,85.122,79.8713333333333,53.9016666666667,20.4333333333333,84648898.772381,500086069.031429,38764.0476190476,0.413255790533736
"peru24","concentration2_cluster_9_group_none",95.42,94.013,85.2133333333333,85.611,48.7706666666667,67709377.136,819951565.6708,14988.28,0.708924335378323
"philippines20","concentration2_cluster_9_group_none",80.5973333333333,78.839,79.565,55.0453333333333,17.5666666666667,57044139.7725926,266845864.671111,56238.2222222222,0.281215020576132
"philippines22","concentration2_cluster_9_group_none",79.251,78.193,58.0556666666667,26.903,2.83,267108159.997308,437102674.492692,61131.5384615385,0.270051671732523
"philippines25","concentration2_cluster_9_group_none",83.3236666666667,81.758,64.092,72.094,25.1396666666667,55087918.5516667,352165307.9025,54651.1666666667,0.337681042228212
"philippines30","concentration2_cluster_9_group_none",81.529,79.598,74.6273333333333,56.8796666666667,21.4046666666667,56197692.9084,263672982.346,47936.2,0.296877011494253
"philippines34","concentration2_cluster_9_group_none",81.4356666666667,80.2313333333333,68.682,48.657,14.1233333333333,84155200.9244,429383888.736,56738.64,0.30533140655106
"romania06","concentration2_cluster_9_group_none",92.8213333333333,90.7776666666667,83.5776666666667,87.7136666666667,45.7066666666667,73053255.9028,562838010.778,16595.16,0.588880341880342
"russia08","concentration2_cluster_9_group_none",85.2516666666667,83.1603333333333,69.998,74.8663333333333,35.219,70929663.9473913,399718018.306522,33975.8260869565,0.36977398989899
"sapporo","concentration2_cluster_9_group_none",82.6346666666667,81.699,78.2416666666667,34.903,10.086,121578362.446,503490927.9455,38544,0.334054018445323
"serbia02","concentration2_cluster_9_group_none",81.9166666666667,81.1186666666667,58.4123333333333,35.5973333333333,6.70933333333333,138029854.837273,677747774.949091,37594.1363636364,0.323109722222222
"serbia04","concentration2_cluster_9_group_none",83.599,82.0266666666667,74.9596666666667,53.2366666666667,19.0106666666667,92454949.8228,429711089.5316,36459.92,0.345156706507304
"singapore20","concentration2_cluster_9_group_none",84.8553333333333,83.765,78.7843333333333,43.3593333333333,15.442,139795541.726296,675450643.571111,27443.8888888889,0.381230769230769
"slovenia06","concentration2_cluster_9_group_none",86.3033333333333,85.325,73.7903333333333,55.418,18.839,98980059.7684615,622997937.559231,38071.7307692308,0.416470833333333
"slovenia10","concentration2_cluster_9_group_none",84.3436666666667,83.6833333333333,54.8886666666667,38.5426666666667,6.972,140189695.042632,784949907.818947,26956.6842105263,0.375651741293532
"spain07","concentration2_cluster_9_group_none",83.022,81.9396666666667,78.3873333333333,57.5286666666667,17.8106666666667,85483191.3330435,434851432.114348,52393.8260869565,0.339267399267399
"tokyo03","concentration2_cluster_9_group_none",84.9216666666667,83.9756666666667,46.1113333333333,39.3713333333333,4.924,80271857.6316667,309312475.825,33327.0833333333,0.383863572433193
"tokyo12","concentration2_cluster_9_group_none",81.9033333333333,80.8966666666667,64.315,43.0283333333333,6.89966666666667,149665317.1512,746699049.6948,56728.56,0.318980113636364
"tokyo21","concentration2_cluster_9_group_none",84.2886666666667,83.5506666666667,56.2776666666667,34.1146666666667,2.98733333333333,156452960.525,760918668.960455,42100.3181818182,0.373168373151308
"turkey13","concentration2_cluster_9_group_none",92.8346666666667,91.6713333333333,89.884,72.3936666666667,29.372,80318720.5608696,626936846.982609,16710.7826086957,0.615174540682415
"turkey18","concentration2_cluster_9_group_none",85.0066666666667,83.43,74.0373333333333,69.6476666666667,30.978,70373431.15,411063336.4224,31605.64,0.375235836627141
"turkey33","concentration2_cluster_9_group_none",89.9993333333333,88.4593333333333,79.937,83.953,34.7853333333333,80621705.2604167,514997516.122083,23924.5833333333,0.508732833957553
"ukraine01","concentration2_cluster_9_group_none",85.9743333333333,84.187,73.4416666666667,69.7226666666667,25.9283333333333,107405241.545,585918711.147917,35791.4583333333,0.393023474178404
"ukraine11","concentration2_cluster_9_group_none",81.8606666666667,80.2266666666667,81.9106666666667,57.6226666666667,27.8933333333333,99322708.8169565,381587499.01913,37622.2173913043,0.307017402945114
"ukraine12","concentration2_cluster_9_group_none",80.5366666666667,79.0496666666667,74.9133333333333,49.4436666666667,19.0796666666667,93930772.3305263,381589234.32,41792.3157894737,0.285419607843137
"venezuela01","concentration2_cluster_9_group_none",96.1873333333333,95.1473333333333,90.411,90.5973333333333,48.82,65696368.0332,887140726.0364,10372.56,0.756866220735786
"venezuela02","concentration2_cluster_9_group_none",96.0906666666667,94.8436666666667,94.553,72.0413333333333,46.707,78192573.6912,963430797.966,11856.4,0.744194350282486
"yamanashi","concentration2_cluster_9_group_none",82.0536666666667,80.9666666666667,70.1223333333333,39.3266666666667,8.66933333333333,145627078.106818,498929541.647727,51016.1818181818,0.318853125
