"bridges_ratio","moran_i_degree","getis_gi_degree_mean","rosval_mean","d_value","c1","c9","c11","c15","c16"
3409760.05490868,1330814.96512801,2539216.28520478,-836485.002041373,-11679965.9856981,2438425.6529823,275797.520742351,-26346.7909347754,-3409332.86759564,-21721036.5747199
-1171779.6316942,297041.611625609,1438329.87210595,-2577338.31366001,-20066741.1351384,5102228.06981939,-266390.470449697,197760.404833807,-2402102.28964736,-30477838.0848078
5494026.54340843,5191161.16829789,894465.227523534,3799492.17222446,-6287750.60863103,4449873.26031759,-64661.027386174,659807.269255433,2690740.77497941,19189858.9947988
4581227.88147388,4085523.87859639,2000521.30895602,1817941.77732477,-17156041.5678726,3539116.40403352,-492314.841390178,687960.717181658,-326391.803115365,-13524190.0003907
2161837.34842801,4219294.47405721,-1505811.4779893,483606.328352155,-8051480.07004625,-6937806.83649848,173561.236927052,134308.698554766,1097968.01452217,49677086.3961505
3718451.23668038,3911340.02089333,1223902.41376227,227089.729601957,-14639620.6248287,-4029778.09149926,129255.873068971,167197.892640729,-1550973.32290928,25115938.5296933
492520.466652415,480103.807772893,-537519.066437238,971768.261481738,1643814.87004793,-3956428.15925748,-125943.993399026,96711.4410360184,4099304.52629965,52588284.823973
391600.026898034,-685759.45679877,-997581.773492716,1073315.5606908,3538083.80221812,-2969702.91329945,-18820.1773509252,-53422.6982636732,3513637.18992261,36896631.4946591
-662451.056055654,3062667.64678103,-3325083.27243078,2197381.9954054,11186942.955133,-135465.828297934,201440.787590317,-50952.4445756495,2826358.16972387,46936722.8376693
556041.928687739,3297842.18908354,-2876535.72548793,-185788.19827336,4708099.80848065,1212354.97009562,394302.633697537,202200.719158534,643412.421420901,20718256.6096241
2885607.6694907,7349036.09252091,-796539.582898058,2081673.66395326,9472933.71450481,1680392.02851851,217919.871654066,702083.062163605,1592218.08408595,25949705.4011766
-1558622.81121842,-1743509.05570779,2821262.34004042,-238306.685985246,8830541.37398995,2052878.94186129,285045.784168719,-391279.018953938,-1574163.13279392,-19452372.1486349
-2666930.75505612,-1380722.84485315,-343185.686007557,4472755.80385374,9541987.45414572,1026791.77313468,348858.434578716,-640427.667382844,3559188.88748077,-3983729.99542684
-1773438.97241585,-7768776.00125911,-466286.455475647,996993.501227066,1253174.22181167,2632410.18765259,-646748.392533405,-21097.553248273,1882788.64569488,-10079482.5545308
-1277095.56922417,-3356157.70684916,1168330.59883915,1930737.68437521,-12976094.4273087,4634762.46596977,-533083.899359163,-364847.805020161,299528.489118372,-27518844.6987687
-2345984.50760363,-3959846.99391074,-1231368.56515539,3027429.93992724,6108974.50774576,784039.399361083,-328771.146307312,-282535.789553085,3800307.66175801,-423876.167943159
-1798455.2320389,-5309055.64877489,1590923.24730427,2815303.52321753,-9340892.13162388,5054432.00178499,133046.24129097,-685011.98481838,1786452.52784967,-28211398.8760859
1340255.51061518,1369539.86875889,-1452887.72746301,-1548201.75376971,-14901704.2553117,-4434699.56221729,-265528.57748945,473988.255075965,-2140428.78888512,-5906168.89929558
3889414.15739957,7306891.19245166,2296304.87403058,6448403.90397629,1345860.6937463,740713.535823705,-45852.14409548,1129027.02237009,1382813.94235763,36907623.8579912
692014.198013351,-552814.219625389,1136277.06833768,1074226.75796419,-20419290.4056249,-631668.886960904,-453766.241416014,-271624.343960933,-3134672.04944314,-9568384.95295276
5048239.35796195,2284085.25786775,2059913.97584382,2354596.91909682,-20094562.6012891,-2315073.78042726,-490149.288141255,71475.7679056857,-2423101.44241014,-18589860.2686329
4892478.96100294,5234099.12448891,1257601.76805349,1821081.05888427,-15819689.127378,1357973.4139772,91358.2975040547,-237265.786189647,-2363732.46950251,-5911800.42060231
-1455152.35098199,-1558553.7614658,629586.335822702,-1671323.56650255,-13552772.9812396,-1737577.97585764,-486824.87490524,-78641.1845494456,-2173829.85279304,-30339948.7198064
