"centralization_degree","rosval_mean","c1","c5","c10","c13","c14"
3084806.28769747,71723673.8908541,5331722.29707084,-21830836.9262021,13285599.1728876,-27018036.2637205,117682407.753359
3409835.56565218,17769949.7490472,14431293.4241427,-12882051.4686369,1910399.823892,31963153.4802494,53621089.28698
2960171.11000041,29528005.426966,24441806.5983353,-5446273.12996713,15895327.6948004,35491183.0980906,68660013.3730682
3768168.0532705,51759502.9329808,4724251.91490794,-17568025.044831,10608209.8464993,16250195.3253402,109740132.9335
4501353.01225834,46726137.3852073,27173234.9682468,-6167370.91144644,17357054.7481835,22884686.0389923,108083332.730165
1663366.48920299,-24563067.6804134,-23535712.3389548,-35457310.6754037,-17066492.6862928,-28698038.8752647,-47582460.6786485
2107906.4606017,106678517.16352,4376320.06581552,-39794569.8980997,-12936737.558464,-30561560.0050306,-34508557.6202713
2820587.49497131,17321591.0531308,-3387999.49808922,-41756349.8146004,1019965.72295609,-41221085.6126388,-28647800.9563502
-8669056.75778763,36987553.7487458,-12783204.9485499,-33216806.9665451,-7679871.47737656,-48611432.1527495,-80891469.6218199
-674796.804999449,31667381.529578,7845324.72913213,-34447562.8541918,-2527753.34013182,-23635767.5538078,-55068447.9537131
1501738.35938824,-28216233.0415108,-9630310.9107708,51606575.3452289,4751636.69184999,23363581.2609212,-28658335.2170835
-11277542.0796688,-68720546.2115613,9744038.2338901,48566828.0208418,5084639.49802945,32908134.844689,-54795119.2451137
3592580.91859221,7186004.22550385,-22137856.7801229,-4409237.17067348,-5085124.17632227,-29986399.631321,55099160.2776643
2061669.78860982,-11674496.8394278,-8728565.26641048,-1290946.45123332,-12627938.0708896,-38338917.1274976,10356054.3956383
-1329065.75406535,-13420569.9053248,-1904845.86558486,-6930558.82288354,-8655971.56277648,-8669763.43400837,-31228199.1845762
1030765.57834294,54150306.7899273,22354388.6803581,-523241.287436074,11356883.5450442,23708205.1104983,-14602220.2689398
3337073.90648789,37237180.437303,13146277.5130764,1878739.12018558,6775808.56131037,-61641.3456364495,-4393444.45806068
1840938.13490775,4444217.76448746,16463198.3050036,-16831628.9429721,6546706.58439147,-9336102.53581204,-10703780.6914425
850989.368254897,-10116696.6283093,-16977567.2926866,47123672.4749649,6285589.35653708,-1214581.53359494,57084832.1795841
3714029.82219114,56557570.0092683,12435584.7715554,-29794880.5646502,7370061.35807605,-53061676.422349,67506807.4640746
3089893.56331638,12851412.6951245,-37922907.9163728,-8339952.61655643,-3724442.60585172,-50464802.7210363,50506534.7960958
3499876.34769469,75896593.5208992,-33860016.6238363,-20614348.8945236,-329603.312499325,-73538195.3163108,114981962.98526
3949632.72573155,20353424.710522,-10298376.3765943,59388422.9525417,16844330.9800111,-3477448.6536888,43041320.3973292
229782.988450712,-32579758.3883553,-8615144.80758369,27063624.2019494,-3427222.52248092,35537788.6842932,-16628913.9436959
2512219.21488986,-11133667.1245218,-10626766.6347087,21383101.8783379,9912680.6765534,11190903.0837841,47571204.7272418
-3963648.20721876,-53383687.0894594,11595023.8900541,64776489.2218634,-3543959.88214107,26063127.2208546,-40238256.8105596
-13496109.5388201,-56205111.3972065,18367088.1693762,32451735.597478,4185629.42751424,34318578.3419422,-70199688.8243596
-4130102.89465978,-57667014.212879,-8899174.07192902,39908748.7702053,-17483378.913295,23315735.4126382,-29774690.3079111
-737184.509726492,897598.63928872,16785978.7940113,75924331.1530949,15975566.1986099,8692403.59792332,48813963.983638
-1607510.87036476,-16935451.5199134,22559852.2760278,83866872.3509745,16261157.5684469,33389200.9783768,4831358.56154075
3475273.73962366,2653518.08679483,4212178.1772718,-27029232.9552755,2558045.17568303,-20161247.6969235,28828235.6250401
