"centralization_degree","bridges_ratio","getis_gi_degree_mean","rosval_mean","orientation_entropy","c1","c5","c8","c10","c13","c14","c15"
4884953.49769876,1844895.61215367,-755207.333931649,-6667315.28705819,-23894324.1650716,14537097.8955656,-23833799.7575102,-2500.516092479,7430776.03877713,-14996090.4211328,-8999127.48148333,-5095641.36707263
6956255.95705257,-6942214.66294569,-1845073.29499269,1476250.38335375,6977163.04600912,-10406792.5552011,-25931094.7915012,21079.7465916101,2110576.98983127,-17465994.2470763,16935865.4934222,34647489.9871314
14295927.9747238,-9165072.46706696,3205998.02901938,12051049.1605108,-7505045.47785222,5545164.92784627,-798839.870862663,21994.7888965794,9680974.63000821,-1642766.20385726,33806127.9501437,48501940.7305217
-375990.480836253,17854017.3235341,5187828.75091167,-7918964.72429204,7537689.58365209,-14518926.6777989,-35125607.6001531,-34690.6005448463,-4062866.33984522,-3119139.70403992,-41728854.2378118,-52783710.5492092
7572234.25693152,11517618.0226534,9630630.46044282,30661164.4720975,7691533.66483878,9785708.09885858,-53824195.9228722,22557.6904833834,5756235.65028069,-25824195.3003453,-8312015.81173033,-20930753.5422363
-10482726.6467408,7046068.49972117,-1288867.34723445,-11829716.4535512,8090594.14290384,9810233.48897979,-66048002.9896618,2410.37592672127,-3984642.35462793,-4817569.41375599,-52124818.2557273,-70706248.6784205
12498924.8837678,5246646.50308734,-2218805.14241834,4861530.13972221,1639751.01406483,-15608239.4281257,-61651724.7947433,12411.1228639162,-5405731.05672813,-21023566.1083335,-13353504.6090053,-29721893.3487704
13942415.8314247,-13915633.5698009,-4550571.30729626,13570467.5699542,6554727.54968553,-10892847.1700121,-19519615.8364971,10027.850271212,192290.144048389,-27535316.2714143,84703618.6844331,39590798.4431429
-7527012.32751198,-3200807.87092059,4880970.80523574,-14806415.2651697,4398736.60792133,1381058.75028629,16403359.5096864,-12927.8308633617,-868441.53050449,10079605.3166218,-36144995.7878173,-44076374.5701032
-34033926.2172952,18591056.3829989,3795213.10765723,-17989852.6962471,3534727.87619591,11041478.7061968,69796239.7831829,-33808.3423717698,4244790.85677077,7990284.68453614,-51174379.3857989,-80644483.2320385
-8097977.16891712,20417496.3564822,5876680.36708828,-4753651.35983598,6256197.86187445,11632691.476823,-20709258.0225871,8081.96148687682,8668163.59513372,8814454.74550697,-34859452.5032234,-55118594.6522668
-7711632.19640715,-7093694.1447841,3345261.21468065,-13967192.0618359,6428193.70171388,24976442.0747034,8916678.89653797,-1492.42376741942,9920175.76352642,13684814.6420828,-22104249.9297128,-37364671.9766359
-5228573.52923747,33110567.1872971,2029177.3132308,20486921.7625065,7955386.74060369,21593179.1087395,-78582057.9159772,-20794.5035555762,-619631.764486172,-2871051.57625336,-53811272.0901652,41268695.1118279
-6338013.29576831,27342587.9588158,4598314.24090035,9615346.9211989,9539741.89441402,16928251.1528749,-83098477.4544634,-32827.25718607,-5397019.80545765,1523292.78911721,-62750143.7371347,-7030296.725631
1268713.56972873,13032990.5653784,-3480468.6484485,2600116.18199499,133705.189922566,-33974908.6025904,-81550341.9824169,12349.7805290918,-9708471.28022709,-16573931.4846537,-51477490.7807653,16223792.2953131
-8389386.50499567,22345370.5754281,2799534.8934414,1072638.73448156,7551441.13007619,-19970400.8159803,-77390592.0390392,9164.26860069594,-10874276.5354128,-8912767.03834124,-61282072.3861301,-24920278.271491
7487491.97073623,3081771.52878263,-1212056.29428985,5348735.78057852,625347.664639986,-19217904.2180149,-64917565.1684022,-6123.40962606046,-13033532.3305553,-18552984.4125767,-19123133.4756063,63448381.2465043
9992772.8270355,2485174.95655895,-2276194.76725875,5931707.26401749,-6713387.93560717,-14368291.317509,-77036788.9837517,-1237.33056704969,-9606782.86686317,-547696.927279713,-9881894.50230066,54388096.7328092
10407497.9461594,-4355799.53821649,-7767806.42622912,11526021.1024096,-16771158.6569232,-1146585.24963091,-38850488.2094179,13140.1241973201,67369.2880798001,-32323775.6172987,48060312.8503534,40664767.452451
-6712425.6480635,3451901.80235482,-6650748.03390516,-867126.662338313,-4926349.84322807,6075836.39144091,-48610150.2188165,6020.06751452058,3539682.66524417,5943664.39353422,6601380.38156695,10600441.3541472
6725983.32858971,17384014.5254247,-1830513.08172949,11217502.477397,10350440.4011674,8182152.52210973,-38729404.1819078,-13110.5757151829,-6516193.95752651,11887456.4899037,-33113651.7124846,22880751.7704025
1227748.38562314,-9225149.5157424,6574298.41979621,-1107297.59981353,7156433.9191359,10384918.3983961,81166680.1401663,18766.2228111631,6073602.30308291,9253121.15405784,11969858.0280759,-22866257.8669994
10336802.9283743,-16080633.2212962,-797376.142517535,24292170.5292865,-29667385.0409415,5078496.04332535,-32497946.1902039,27343.02166919,10177134.8613378,-11623912.5552762,96958553.1577187,55608473.7806225
11347928.2278115,-10620197.288725,-1073969.33423508,5471337.20309426,-12038491.9118842,12999445.8472759,-21410908.349377,-19582.0723189887,1380929.62732983,13648637.8004814,41734786.3451778,29889533.2356887
9493098.70378385,-7918368.80950213,2702834.82471757,10292293.3349832,7244977.73128029,22357450.4413976,-10951017.9679345,9009.87657738403,12111802.6852855,16059558.9247633,56110463.0492799,1962437.40000737
12695123.6154565,-13993151.3907352,-2830827.01972706,16633975.0254238,-868377.163569181,4206917.48228102,-27226835.8063394,968.417873299991,8021959.26253749,6737479.28799244,87808507.967399,60755660.5202542
15013889.9635137,-10854543.4439142,3678068.92346207,15265522.1341277,-4747329.42499523,24746735.4545986,-9494053.54400004,31274.7333269975,13157847.9519909,9766879.42119936,86614608.4482833,28399453.8907189
5610946.40237748,8247568.83071747,-3331202.31755234,-8205735.36067774,-6673428.96509551,-21418489.3208503,-55870100.7561162,-40392.2721224755,-12953658.3861626,-12588645.4966776,-37997093.6500804,-31840193.3489047
7140927.36619733,23749344.3174003,5367861.94363695,35159758.927905,7798558.73720636,3934321.56244793,-63487264.2577113,-17216.3829026575,-9857593.77053206,-13677341.2952257,-28584651.3227411,22654472.389113
9624867.77894108,4443304.31720471,2668684.37330196,6078926.7788103,8374578.14839187,-2761720.90779195,-61504649.1598974,5107.99780605012,881450.148225342,-17755494.2840974,-20399526.1223889,-46031139.7675049
