"Map","agent","final_alive","total_health","transport_rate","road_clear_rate","buried_rescue_rate","dist_per_rescue","dist_per_transport","total_buried_time","rsl21_rate"
"indonesia79","distributed",81.6456666666667,80.286,64.796,81.209,26.5193333333333,55541709.8478261,259655109.571739,49478.2608695652,0.306356394129979
"indonesia80","distributed",83.1006666666667,82.3593333333333,59.2656666666667,50.5946666666667,9.77433333333333,125509189.0288,581077669.87,49834.28,0.346587209302326
"ishikawa","distributed",84.5923333333333,83.7673333333333,63.2463333333333,42.451,8.373,134195609.525833,575877861.804167,42845.9583333333,0.377961290322581
"italy16","distributed",87.4616666666667,85.61,74.0183333333333,84.7913333333333,33.6713333333333,68292900.4928,409732210.4048,23933.56,0.429870716510903
"italy36","distributed",88.447,86.1966666666667,62.4406666666667,90.5153333333333,45.5413333333333,59579177.5013636,446301520.351364,27864.2727272727,0.446045077105575
"italy54","distributed",83.016,81.504,63.885,60.881,23.8896666666667,111782480.304,624395876.749,49614.2,0.330973214285714
"mongolia05","distributed",92.7866666666667,90.7166666666667,74.661,87.222,50.413,69030873.362,643866637.214,16617.76,0.587306666666667
"myanmar03","distributed",79.1806666666667,78.1746666666667,55,26.594,6.95066666666667,151007376.351818,585818658.201364,45081,0.270138888888889
"myanmar11","distributed",80.0853333333333,78.6536666666667,69.8203333333333,51.353,19.7926666666667,69753042.4379167,306791647.114583,41099.6666666667,0.278344680851064
"myanmar12","distributed",78.4216666666667,77.3693333333333,36.6666666666667,30.9936666666667,3.76666666666667,102762042.818519,224097261.591481,44371.8888888889,0.257858407079646
"myanmar13","distributed",79.21,78.0203333333333,36.8333333333333,39.479,4.25866666666667,108383370.205769,309513269.945385,43583.1153846154,0.267317251461988
"myanmar14","distributed",79.778,78.6736666666667,44.2223333333333,27.446,2.58833333333333,94027463.4542308,260515347.072308,44722.8461538462,0.277094052558783
"myanmar15","distributed",80.4183333333333,79.2993333333333,58.4726666666667,31.8293333333333,6.557,181382155.245263,404790201.690526,43641.3684210526,0.290116339869281
"nara01","distributed",80.95,80.206,22.7776666666667,30.0846666666667,3.49566666666667,180916730.340435,297748579.50913,53619.5217391304,0.303324973876698
"netherlands04","distributed",79.9896666666667,78.6926666666667,62.663,43.6416666666667,12.3826666666667,154731303.069048,638004125.824286,61657.0476190476,0.278200779727096
"new-zealand02","distributed",81.369,80.3496666666667,64.521,30.299,10.2493333333333,169501370.294615,533176315.186538,41132.8076923077,0.308140826873385
"new-zealand20","distributed",90.0096666666667,88.3956666666667,71.204,80.2073333333333,33.7856666666667,91823608.6004167,671980703.878333,30437.1666666667,0.506691919191919
"okayama","distributed",86.4163333333333,85.6363333333333,71.8433333333333,55.1896666666667,17.2953333333333,117578280.997727,607830803.250455,33140.6363636364,0.425390216154721
"peru13","distributed",87.5336666666667,85.9326666666667,71.464,67.8563333333333,25.895,91823343.2383333,559420848.1025,35986.4583333333,0.435082549634274
"peru17","distributed",94.581,92.9303333333333,71.109,91.285,52.916,69523941.2866667,860455247.302963,16450.037037037,0.666374251497006
"peru19","distributed",85.8306666666667,84.899,72.5893333333333,55.1316666666667,16.4263333333333,114014500.489524,643290267.523333,39790.1428571429,0.406568982880161
"peru24","distributed",95.5123333333333,93.988,79.02,92.1443333333333,54.9146666666667,59929028.9272,776642344.4504,14460.84,0.708635991820041
"philippines20","distributed",80.1026666666667,78.6046666666667,65.4833333333333,55.902,15.125,80430242.7525926,324310738.685556,57219.1111111111,0.27637962962963
"philippines22","distributed",79.2003333333333,78.1646666666667,38.833,26.8676666666667,2.76266666666667,205699726.747692,366661885.827692,61173.4230769231,0.269435663627153
"philippines25","distributed",83.3236666666667,81.675,58.8576666666667,73.0476666666667,24.5,62456700.18625,464058197.455417,54796.0416666667,0.336124887690925
"philippines30","distributed",81.1946666666667,79.4056666666667,66.093,54.979,18.1883333333333,79701244.5704,398833230.0364,49226.56,0.29287816091954
"philippines34","distributed",81.0786666666667,80.1396666666667,56.0553333333333,48.198,11.4243333333333,122980050.6312,604763056.3364,57691.4,0.302637764932563
"romania06","distributed",92.7206666666667,90.6353333333333,75.928,91.022,52.433,68141346.3808,565439879.8876,15703,0.583950142450142
"russia08","distributed",85.6306666666667,83.3063333333333,70.944,76.7063333333333,34.861,72367558.6647826,425015944.061739,34374.7826086957,0.374892676767677
"sapporo","distributed",82.5823333333333,81.6516666666667,73.318,36.0723333333333,8.85166666666667,115602281.556,482602913.811,38863.45,0.332971014492754
"serbia02","distributed",81.9303333333333,81.1263333333333,43.111,35.1373333333333,5.58266666666667,187343518.843636,538042011.617273,37893.6818181818,0.323323611111111
"serbia04","distributed",83.2666666666667,81.8816666666667,65.1916666666667,55.2433333333333,17.776,104644979.4632,492281060.0344,36909.48,0.341106241699867
"singapore20","distributed",84.5193333333333,83.6333333333333,75.5423333333333,44.69,13.0716666666667,180559309.060741,787586881.163333,27783.3333333333,0.376634615384615
"slovenia06","distributed",86.1983333333333,85.283,65.3523333333333,56.7806666666667,17.9746666666667,99810730.1496154,681484632.653077,38195.9230769231,0.415103125
"slovenia10","distributed",84.41,83.6876666666667,57.2226666666667,38.9863333333333,6.437,132501047.775263,557269257.925263,26949.5263157895,0.376023217247098
"spain07","distributed",82.9576666666667,81.9086666666667,65.9243333333333,60.506,15.9426666666667,108121991.26913,489984484.756087,53039.3913043478,0.338503663003663
"tokyo03","distributed",84.95,83.982,42.5,39.837,5.95766666666667,108584232.470833,468677129.3725,33135.0833333333,0.384268635724332
"tokyo12","distributed",81.8653333333333,80.8673333333333,51.457,43.576,7.058,184539817.2944,764031436.326,56767.72,0.318386363636364
"tokyo21","distributed",84.2546666666667,83.55,41.3886666666667,34.1366666666667,3.68866666666667,121981040.645455,566663399.319546,42015,0.37303071672355
"turkey13","distributed",92.5733333333333,91.5213333333333,82.274,68.1493333333333,25.9133333333333,89612031.446087,738927170.450435,17063.4347826087,0.608583989501312
"turkey18","distributed",85.0593333333333,83.504,75.8323333333333,71.3296666666667,28.6353333333333,77166524.8188,434264168.496,32040.88,0.376865612648221
"turkey33","distributed",89.837,88.356,74.705,84.4963333333333,36.2506666666667,79746736.9208333,546429887.48125,23802.625,0.504540574282147
"ukraine01","distributed",85.6806666666667,83.9933333333333,71.4546666666667,72.489,24.9766666666667,109899567.100833,548044528.3225,35937.1666666667,0.387863849765258
"ukraine11","distributed",82.3286666666667,80.433,73.375,56.8243333333333,28.5243333333333,94055067.6143478,407796072.914783,37436.9565217391,0.31241499330656
"ukraine12","distributed",80.628,79.0506666666667,67.8893333333333,53.5536666666667,19.5316666666667,96385422.4978947,401679063.193158,41821.8947368421,0.285633986928105
"venezuela01","distributed",96.5213333333333,95.2786666666667,85.1503333333333,95.3086666666667,56.4526666666667,59967980.84,833674728.3768,10097.08,0.764552954292085
"venezuela02","distributed",95.876,94.7653333333333,84.8433333333333,70.825,50.042,76312475.9688,1030665323.1508,11606.48,0.739581920903955
"yamanashi","distributed",81.939,80.908,63.8093333333333,37.985,7.237,139471375.341818,577839748.654091,51570.5909090909,0.317421875
