Map,agent,final_timestep,initial_rsl21,final_rsl21,final_alive,total_health,transport_rate,road_clear_rate,buried_rescue_rate,dist_per_rescue,dist_per_transport,total_buried_time
austria22_29,concentration2_cluster_9_group_none,300.0,315.0,108.57,83.49,82.31,81.82,59.73,20.0,84566428.81,485024410.27,44324.0
new-zealand02_13,distributed,300.0,258.0,73.39,79.84,79.36,66.67,28.67,5.88,207228907.63,540504274.33,44412.0
new-zealand02_13,concentration2_cluster_9_group_none,300.0,258.0,73.39,79.84,79.36,100.0,28.47,5.88,175288933.76,369166291.25,44412.0
cuba02_19,distributed,300.0,244.0,70.49,80.33,79.55,100.0,45.83,12.77,109897762.23,268144667.18,39350.0
cuba02_19,concentration2_cluster_9_group_none,300.0,244.0,69.63,79.92,79.4,50.0,44.9,8.51,158884216.65,844079449.27,40453.0
austria37_17,distributed,300.0,334.0,107.52,82.34,81.22,53.33,86.4,24.59,92305424.79,534874483.88,49324.0
austria37_17,concentration2_cluster_9_group_none,300.0,334.0,117.83,84.13,82.62,52.17,90.98,37.7,56989355.97,539279223.2,44582.0
greece22_6,distributed,300.0,348.0,103.86,80.46,80.16,53.85,55.69,19.12,109994410.74,565468916.19,55813.0
greece22_6,concentration2_cluster_9_group_none,300.0,348.0,103.52,80.46,80.1,60.0,49.95,14.71,110939589.03,511468677.24,56377.0
bulgaria06_7,distributed,300.0,241.0,92.16,85.89,83.82,57.14,70.24,35.0,64508115.92,488499189.52,29813.0
bulgaria06_7,concentration2_cluster_9_group_none,300.0,241.0,96.78,87.55,84.41,91.67,66.4,30.0,70938369.69,291201880.88,29203.0
ejypt04_19,distributed,300.0,250.0,48.0,74.8,72.8,71.43,72.92,20.59,93578055.26,271800883.44,55962.0
ejypt04_19,concentration2_cluster_9_group_none,300.0,250.0,47.26,74.0,72.71,46.67,63.48,22.06,83632117.05,395160595.9,55961.0
slovenia06_27,distributed,300.0,320.0,120.07,84.06,83.87,50.0,51.51,8.0,174119719.86,1407808087.29,43258.0
slovenia06_27,concentration2_cluster_9_group_none,300.0,320.0,123.89,84.69,84.34,80.0,50.69,10.0,135862248.1,806495072.74,42582.0
slovenia06_20,distributed,300.0,320.0,120.26,84.38,83.82,37.5,63.03,15.09,116156704.42,1318082526.88,44172.0
slovenia06_20,concentration2_cluster_9_group_none,300.0,320.0,120.38,84.69,83.77,100.0,63.52,9.43,197461821.9,729505759.05,44958.0
austria13_17,distributed,300.0,188.0,49.31,80.85,77.49,75.0,58.57,18.18,68771142.42,298384390.35,35709.0
austria13_17,concentration2_cluster_9_group_none,300.0,188.0,44.69,78.19,76.19,71.43,51.49,15.91,78773549.53,463085435.49,36508.0
romania06_11,distributed,300.0,234.0,142.48,93.16,91.49,66.67,87.8,40.91,77631087.49,629866386.24,15568.0
romania06_11,concentration2_cluster_9_group_none,300.0,234.0,150.6,94.02,92.42,90.0,73.3,45.45,76489995.72,490350428.42,14553.0
tokyo03_18,distributed,300.0,237.0,80.34,83.12,82.06,60.0,36.29,11.63,72062208.38,243136173.66,36293.0
tokyo03_18,concentration2_cluster_9_group_none,300.0,237.0,80.34,83.12,82.06,33.33,39.78,6.98,87390133.42,749290802.93,37390.0
bolivia01_4,distributed,300.0,243.0,85.39,83.54,82.68,100.0,56.04,9.76,105471707.22,303908446.43,35104.0
bolivia01_4,concentration2_cluster_9_group_none,300.0,243.0,85.14,83.13,82.72,100.0,53.56,2.44,381665192.18,739428749.84,36283.0
chile39_20,distributed,300.0,375.0,179.93,89.87,87.45,53.33,96.13,55.56,43572788.68,498735306.45,34296.0
